CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0069,0.9443773543197561
C0001,C0127,0.8945897248745749
C0001,C0120,0.8429549081996693
C0002,C0133,0.9657079972303915
C0002,C0062,0.9066100398662891
C0002,C0159,0.8991206257099813
C0003,C0166,0.9433618013442434
C0003,C0031,0.8932410985758568
C0003,C0106,0.8280016504411379
C0004,C0017,0.923062586959622
C0004,C0090,0.9211351570266094
C0004,C0113,0.9195186347581966
C0005,C0007,0.9892939524666625
C0005,C0196,0.9884716523684387
C0005,C0146,0.9079311457045562
C0006,C0135,0.8801715005029854
C0006,C0186,0.8153873209914584
C0006,C0171,0.7270515165213528
C0007,C0005,0.9892939524666625
C0007,C0196,0.9813195074448865
C0007,C0146,0.8943568470374031
C0008,C0162,0.9256484864763812
C0008,C0180,0.8788810277093316
C0008,C0039,0.853030186970205
C0009,C0197,0.9463706030112051
C0009,C0058,0.9111310422254824
C0009,C0033,0.9089666801055939
C0010,C0176,0.9431822772936254
C0010,C0030,0.9190902929058838
C0010,C0056,0.8826765773855588
C0011,C0126,0.9676571052044265
C0011,C0171,0.9039561578689249
C0011,C0070,0.8903076248663199
C0012,C0065,0.976303866160868
C0012,C0136,0.9443597040586276
C0012,C0104,0.9320094390438843
C0013,C0105,0.9442456437329683
C0013,C0067,0.9428681669426495
C0013,C0102,0.8436885119471124
C0014,C0060,0.9994375863453526
C0014,C0097,0.9992893108208597
C0014,C0151,0.9952943522076529
C0015,C0123,0.9988862209436796
C0015,C0097,0.9580325334013883
C0015,C0014,0.9570246890809644
C0016,C0182,0.9797176508439492
C0016,C0107,0.976174643406509
C0016,C0088,0.8454614542281038
C0017,C0075,0.9496105264931053
C0017,C0004,0.923062586959622
C0017,C0090,0.9142040728282053
C0018,C0057,0.8531098369886397
C0018,C0068,0.8399798024187507
C0018,C0023,0.814228829115009
C0019,C0190,0.9662065329727478
C0019,C0070,0.9074437268558334
C0019,C0174,0.8816640129798119
C0020,C0130,0.9985621277070218
C0020,C0197,0.9493724271056151
C0020,C0095,0.9492782470371355
